findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
638	0	0	0	0
638	0	5	646	5
638	1	10	2584	10
638	1	15	4522	15
638	2	20	7106	20
638	4	25	10336	25
639	5	30	14234	30
639	7	35	18763	35
639	9	40	23939	40
639	11	45	29115	45
640	13	50	34992	50
640	16	55	41472	55
640	18	60	48600	60
640	21	65	56376	65
641	24	70	64251	70
641	28	75	72688	75
642	31	80	82550	80
647	100	85	262655	85
649	113	90	296964	90
651	117	95	309730	95
652	115	100	304920	95
652	112	105	297660	95
652	109	110	289080	95
652	106	115	281820	95
652	102	120	270600	95
651	99	125	260964	95
651	93	130	245148	95
651	93	135	246466	95
651	87	140	229991	95
651	88	145	231968	95
650	84	150	221088	95
650	81	155	214508	95
650	79	160	207928	95
650	76	165	201348	95
650	76	170	200690	95
649	72	175	189216	95
649	70	180	185931	95
649	68	185	180018	95
649	67	190	176076	95
649	66	195	175419	95
648	62	200	164656	95
648	63	205	166624	95
648	60	210	157440	95
648	59	215	156128	95
648	58	220	152848	95
648	56	225	148912	95
647	57	230	149340	95
647	54	235	142135	95
647	53	240	140170	95
647	52	245	137550	95
647	51	250	135585	95
647	52	255	136895	95
